id,created_at,lang,emotions,key_emo
1.25709E+18,Sun May 03 23:30:47 +0000 2020,en,"[{'score': 0.804675, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25709E+18,Sun May 03 23:30:22 +0000 2020,en,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25709E+18,Sun May 03 23:29:56 +0000 2020,en,"[{'score': 0.804675, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25709E+18,Sun May 03 23:29:25 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25709E+18,Sun May 03 23:28:04 +0000 2020,en,"[{'score': 0.538448, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25709E+18,Sun May 03 23:27:45 +0000 2020,en,"[{'score': 0.696882, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.769251, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Sadness', 'Tentative']"
1.25709E+18,Sun May 03 23:20:54 +0000 2020,en,"[{'score': 0.87232, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25709E+18,Sun May 03 23:18:58 +0000 2020,en,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25709E+18,Sun May 03 23:16:57 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25709E+18,Sun May 03 23:16:56 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25709E+18,Sun May 03 23:10:10 +0000 2020,en,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25708E+18,Sun May 03 23:09:38 +0000 2020,en,"[{'score': 0.575077, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25708E+18,Sun May 03 23:06:24 +0000 2020,en,"[{'score': 0.684562, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Joy', 'Analytical']"
1.25708E+18,Sun May 03 23:06:17 +0000 2020,en,"[{'score': 0.558432, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25708E+18,Sun May 03 23:05:56 +0000 2020,en,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]","['Analytical', 'Confident']"
1.25708E+18,Sun May 03 23:05:27 +0000 2020,en,"[{'score': 0.684562, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Joy', 'Analytical']"
1.25708E+18,Sun May 03 23:05:11 +0000 2020,en,"[{'score': 0.950868, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]","['Analytical', 'Confident']"
1.25708E+18,Sun May 03 23:04:58 +0000 2020,en,"[{'score': 0.677676, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25708E+18,Sun May 03 23:03:24 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25708E+18,Sun May 03 23:02:48 +0000 2020,en,"[{'score': 0.684562, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Joy', 'Analytical']"
1.25708E+18,Sun May 03 23:00:41 +0000 2020,en,"[{'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25708E+18,Sun May 03 22:59:15 +0000 2020,en,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25708E+18,Sun May 03 22:57:34 +0000 2020,en,"[{'score': 0.517188, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25708E+18,Sun May 03 22:53:56 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25708E+18,Sun May 03 22:53:09 +0000 2020,en,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25708E+18,Sun May 03 22:46:29 +0000 2020,en,"[{'score': 0.518866, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]","['Joy', 'Confident']"
1.25708E+18,Sun May 03 22:44:53 +0000 2020,en,"[{'score': 0.655974, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25708E+18,Sun May 03 22:44:39 +0000 2020,en,"[{'score': 0.812004, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25708E+18,Sun May 03 22:44:33 +0000 2020,en,"[{'score': 0.612498, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Joy', 'Tentative']"
1.25708E+18,Sun May 03 22:44:03 +0000 2020,en,"[{'score': 0.570685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25708E+18,Sun May 03 22:43:49 +0000 2020,en,"[{'score': 0.509372, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Anger', 'Analytical']"
1.25708E+18,Sun May 03 22:39:40 +0000 2020,en,"[{'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Analytical', 'Tentative']"
1.25708E+18,Sun May 03 22:38:50 +0000 2020,en,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",['Tentative']
1.25708E+18,Sun May 03 22:38:23 +0000 2020,en,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25708E+18,Sun May 03 22:34:55 +0000 2020,en,"[{'score': 0.631622, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25708E+18,Sun May 03 22:32:08 +0000 2020,en,"[{'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",['Confident']
1.25708E+18,Sun May 03 22:32:00 +0000 2020,en,"[{'score': 0.683792, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Joy', 'Analytical']"
1.25707E+18,Sun May 03 22:30:02 +0000 2020,en,"[{'score': 0.556976, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25707E+18,Sun May 03 22:24:45 +0000 2020,en,"[{'score': 0.503447, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.65676, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Sadness', 'Tentative']"
1.25707E+18,Sun May 03 22:24:38 +0000 2020,en,"[{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25707E+18,Sun May 03 22:24:00 +0000 2020,en,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",['Confident']
1.25707E+18,Sun May 03 22:20:49 +0000 2020,en,"[{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25707E+18,Sun May 03 22:18:58 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25707E+18,Sun May 03 22:17:44 +0000 2020,en,"[{'score': 0.655974, 'tone_id': 'joy', 'tone_name': 'Joy'}]",['Joy']
1.25707E+18,Sun May 03 22:16:28 +0000 2020,en,"[{'score': 0.570685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25707E+18,Sun May 03 22:14:57 +0000 2020,en,"[{'score': 0.538448, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",['Analytical']
1.25707E+18,Sun May 03 22:14:16 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25707E+18,Sun May 03 22:13:21 +0000 2020,en,"[{'score': 0.570685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25707E+18,Sun May 03 22:13:18 +0000 2020,en,"[{'score': 0.656134, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",['Sadness']
1.25707E+18,Sun May 03 22:11:55 +0000 2020,en,"[{'score': 0.850272, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.899126, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Joy', 'Confident', 'Analytical']"
1.25707E+18,Sun May 03 22:10:39 +0000 2020,en,"[{'score': 0.56337, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]","['Joy', 'Confident']"
1.25707E+18,Sun May 03 22:07:56 +0000 2020,en,"[{'score': 0.570685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25707E+18,Sun May 03 22:07:03 +0000 2020,en,"[{'score': 0.570685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25707E+18,Sun May 03 22:06:52 +0000 2020,en,"[{'score': 0.731735, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]","['Analytical', 'Tentative']"
1.25707E+18,Sun May 03 22:05:27 +0000 2020,en,"[{'score': 0.570685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]","['Sadness', 'Analytical']"
1.25707E+18,Sun May 03 22:05:20 +0000 2020,en,"[{'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]",['Confident']
